date,session_date,setup_detected,direction,poi_type,sweep_level,pattern_candle_a,pattern_candle_b,entry_price,stop_loss,take_profit,sl_distance,tp_distance,trader_agrees,actual_result,hypothetical_pnl,notes
2026-05-04T15:29:56.879417,2025-06-24,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.916759,2025-06-25,True,LONG,BULLISH,42935.0,,,43000.5,42934.1,43133.3,66.4,132.8,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:56.952012,2025-06-26,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.986694,2025-06-27,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.013121,2025-06-29,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.054285,2025-06-30,True,LONG,BULLISH,43991.9,,,44042.9,43974.1,44180.5,68.8,137.6,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:57.094235,2025-07-01,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.133762,2025-07-02,True,LONG,BULLISH,44465.0,,,44522.9,44462.9,44642.9,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:57.162965,2025-07-03,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.189819,2025-07-04,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.217886,2025-07-06,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.259194,2025-07-07,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.297789,2025-07-08,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.335621,2025-07-09,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.372995,2025-07-10,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.408760,2025-07-11,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.436079,2025-07-13,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.473730,2025-07-14,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:57.514341,2025-07-15,False,,,,,,,,,,,,,,No valid signal from strategy
